iter	Passed	Remaining
927	1916	148
928	1919	146
929	1921	144
930	1923	142
931	1925	140
932	1927	138
933	1928	136
934	1930	134
935	1931	132
936	1934	130
937	1936	127
938	1937	125
939	1939	123
940	1941	121
941	1942	119
942	1944	117
943	1946	115
944	1949	113
945	1951	111
946	1952	109
947	1954	107
948	1957	105
949	1959	103
950	1961	101
951	1963	99
952	1965	96
953	1967	94
954	1968	92
955	1970	90
956	1972	88
957	1973	86
958	1976	84
959	1978	82
960	1980	80
961	1982	78
962	1984	76
963	1985	74
964	1987	72
965	1989	70
966	1991	67
967	1993	65
968	1995	63
969	1997	61
970	1999	59
971	2000	57
972	2003	55
973	2005	53
974	2007	51
975	2008	49
976	2010	47
977	2012	45
978	2014	43
979	2016	41
980	2019	39
981	2022	37
982	2023	34
983	2025	32
984	2026	30
985	2028	28
986	2030	26
987	2032	24
988	2034	22
989	2036	20
990	2038	18
991	2040	16
992	2041	14
993	2043	12
994	2044	10
995	2047	8
996	2049	6
997	2050	4
998	2052	2
999	2054	0
